forest,effect.size.calc,study.design,include.qual,include.quant,author,title,year,journal,study.id,study.treat,es.id,measure.name,developer,delayed,hedges.g,variance,grade.level,no.disability,group.size.calc,content,prop.females.whole,prop.females.t1,prop.females.t2,prop.black.whole,prop.black.t1,prop.black.t2,prop.hispanic.whole,prop.hispanic.t1,prop.hispanic.t2,prop.white.whole,prop.white.t1,prop.white.t2,prop.native,prop.asian,prop.other.races,txt.name,txt.description,txt.n,txt.sessions,txt.sessions.minutes,algebra,early.numeracy,fractions,geometry,lifeskills,measurement,operations,word.problem,explicit.modeling,explicit.guided,explicit.indep,explicit.feedback,explicit.discourse,group.whole,group.small,group.one,group.size.original,control.name,control.description,qi.1.1,qi.2.1,qi.2.2,qi.3.1,qi.3.2,qi.4.1,qi.4.2,qi.5.1,qi.5.2,qi.5.3,qi.6.1,qi.6.2,qi.6.3,qi.6.4,qi.6.8,qi.6.9,qi.7.1,qi.7.2,qi.7.3,qi.7.4,qi.7.5,qi.7.6,qi.8.1,qi.8.3,qi.g.total,qi.percent,qi.1.1B,qi.2.1B,qi.2.2B,qi.3.1B,qi.3.2B,qi.4.1B,qi.4.2B,qi.5.1B,qi.5.2B,qi.5.3B,qi.6.1B,qi.6.2B,qi.6.3B,qi.6.5B,qi.6.6B,qi.6.7B,qi.7.1B,qi.7.2B,qi.7.3B,qi.7.4B,qi.7.5B,qi.8.2B,qi.s.total
"Bangurah et al., 2007",1,rct,1,1,"Bangurah, Kolleh Harry Edward and Irvine-Belson, Sarah",The efficacy of manipulative material for improving the academic achievement and attitudes of at -risk middle school students,2007,ProQuest Dissertations and Theses,110,110,1017,Multiplying Integers,0,0,0.177538,0.118111,sec,1,12,algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manipulative group (Group A),Problem solving with manipulatives individually and in cooperative learning groups,17,15,90,1,NA,NA,NA,NA,NA,1,1,,NA,NA,NA,,1,NA,NA,12,Control (Group B),"Students in the control group
  practiced problems on paper; symbols and manipulative materials were not used with
  this group, but topics were in the same sequence for each group.",1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,19,0.791666667,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,13
"Bangurah et al., 2007",1,rct,1,1,"Bangurah, Kolleh Harry Edward and Irvine-Belson, Sarah",The efficacy of manipulative material for improving the academic achievement and attitudes of at -risk middle school students,2007,ProQuest Dissertations and Theses,110,110,1018,Dividing Inttegers,0,0,0.312875,0.119087,sec,1,12,algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manipulative group (Group A),Problem solving with manipulatives individually and in cooperative learning groups,17,15,90,1,NA,NA,NA,NA,NA,1,1,,NA,NA,NA,,1,NA,NA,12,Control (Group B),"Students in the control group
  practiced problems on paper; symbols and manipulative materials were not used with
  this group, but topics were in the same sequence for each group.",1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,19,0.791666667,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,13
"Barbieri et al., 2020",1,rct,1,1,"Barbieri, Christina A. and Rodrigues, Jessica and Dyson, Nancy and Jordan, Nancy C.",Improving Fraction Understanding in Sixth Graders with Mathematics Difficulties: Effects of a Number Line Approach Combined with Cognitive Learning Strategies,2020,Journal of Educational Psychology,111,111,1019,Fraction concepts,0,0,0.8862,0.2952,sec,0,3.5,fractions,0.59,0.65,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Experimental Intervention Condition,"Intervention addresses fraction under-
  standing including operations and some magnitude judgments along with other sixth-grade mathematics content.",28,27,45,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,,1,NA,3 to 4,Control (BAU),Typical instruction provided by the school by classroom teacher,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,23,0.958333333,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,18
"Barbieri et al., 2020",1,rct,1,1,"Barbieri, Christina A. and Rodrigues, Jessica and Dyson, Nancy and Jordan, Nancy C.",Improving Fraction Understanding in Sixth Graders with Mathematics Difficulties: Effects of a Number Line Approach Combined with Cognitive Learning Strategies,2020,Journal of Educational Psychology,111,111,1020,Fraction arithmetic,0,0,0.3098,0.2831,sec,0,3.5,fractions,0.59,0.65,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Experimental Intervention Condition,"Intervention addresses fraction under-
  standing including operations and some magnitude judgments along with other sixth-grade mathematics content.",28,27,45,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,,1,NA,3 to 4,Control (BAU),Typical instruction provided by the school by classroom teacher,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,23,0.958333333,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,18
"Barbieri et al., 2020",1,rct,1,1,"Barbieri, Christina A. and Rodrigues, Jessica and Dyson, Nancy and Jordan, Nancy C.",Improving Fraction Understanding in Sixth Graders with Mathematics Difficulties: Effects of a Number Line Approach Combined with Cognitive Learning Strategies,2020,Journal of Educational Psychology,111,111,1021,Fraction comparison,0,0,0.9059,0.2958,sec,0,3.5,fractions,0.59,0.65,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Experimental Intervention Condition,"Intervention addresses fraction under-
  standing including operations and some magnitude judgments along with other sixth-grade mathematics content.",28,27,45,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,,1,NA,3 to 4,Control (BAU),Typical instruction provided by the school by classroom teacher,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,23,0.958333333,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,18
"Barbieri et al., 2020",1,rct,1,1,"Barbieri, Christina A. and Rodrigues, Jessica and Dyson, Nancy and Jordan, Nancy C.",Improving Fraction Understanding in Sixth Graders with Mathematics Difficulties: Effects of a Number Line Approach Combined with Cognitive Learning Strategies,2020,Journal of Educational Psychology,111,111,1022,FNLE (PAE),0,0,1.1657,0.3049,sec,0,3.5,fractions,0.59,0.65,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Experimental Intervention Condition,"Intervention addresses fraction under-
  standing including operations and some magnitude judgments along with other sixth-grade mathematics content.",28,27,45,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,,1,NA,3 to 4,Control (BAU),Typical instruction provided by the school by classroom teacher,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,23,0.958333333,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,18
"Babbin and Hochbein, 2020",1,qed,1,1,"Babbin, Elizabeth C. and Hochbein, Craig",Examination of the Effects of a Tier Two Middle School Mathematics Intervention on Academically At-Risk Students,2020,ProQuest Dissertations and Theses,107,107,1002,PSSA-6th,1,0,0.0905,0.0435,sec,1,1,mixed,0.58,0.57,0,0,0,0,0,0,0,0.75,0.78,0,0,0,0,Treatment,Computer-based mathematics intervention used for RTI,134,65,42,,,,,,,,,,,,,,,1,,12,Control,"Standard instruction on grade level, and did not receive any of the other supports described for the intervention group.",1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,18,0.75,,,,,,,,,,,,,,,,,,,,,,,
"Babbin and Hochbein, 2020",1,qed,1,1,"Babbin, Elizabeth C. and Hochbein, Craig",Examination of the Effects of a Tier Two Middle School Mathematics Intervention on Academically At-Risk Students,2020,ProQuest Dissertations and Theses,107,107,1002,PSSA-7th,1,0,-0.18,0.0522,sec,1,1,mixed,0.58,0.57,0,0,0,0,0,0,0,0.75,0.78,0,0,0,0,Treatment,Computer-based mathematics intervention used for RTI,134,65,42,,,,,,,,,,,,,,,1,,12,Control,"Standard instruction on grade level, and did not receive any of the other supports described for the intervention group.",1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,18,0.75,,,,,,,,,,,,,,,,,,,,,,,
"Babbin and Hochbein, 2020",1,qed,1,1,"Babbin, Elizabeth C. and Hochbein, Craig",Examination of the Effects of a Tier Two Middle School Mathematics Intervention on Academically At-Risk Students,2020,ProQuest Dissertations and Theses,107,107,1002,PSSA-8th,1,0,0.0262,0.0476,sec,1,1,mixed,0.58,0.57,0,0,0,0,0,0,0,0.75,0.78,0,0,0,0,Treatment,Computer-based mathematics intervention used for RTI,134,65,42,,,,,,,,,,,,,,,1,,12,Control,"Standard instruction on grade level, and did not receive any of the other supports described for the intervention group.",1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,18,0.75,,,,,,,,,,,,,,,,,,,,,,,
"Barrett & Fish, 2011",3,qed,1,1,"Barrett, David C. and Fish, Wade W.",Our Move: Using Chess to Improve Math Achievement for Students Who Receive Special Education Services,2011,International Journal of Special Education,113,113,1024,Final grade,0,0,1.335,0.472,sec,0,16,measurement,0.35,0.33,0,0.65,0.33,0,0.29,0.27,0,0.39,0.4,0,0,0,0,Treatment,Chess instruction instead of standard mathematics curriculum (once per week),15,30,50,NA,NA,NA,NA,NA,1,NA,NA,,NA,NA,NA,,1,NA,NA,16,Comparison,Traditional instruction connected to students' IEP goals (NO chess instruction),1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,15,0.625,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,11
"Barrett & Fish, 2011",3,qed,1,1,"Barrett, David C. and Fish, Wade W.",Our Move: Using Chess to Improve Math Achievement for Students Who Receive Special Education Services,2011,International Journal of Special Education,113,113,1025,TAKS Scale Score,1,0,0.9166,0.4589,sec,0,16,measurement,0.35,0.33,0,0.65,0.33,0,0.29,0.27,0,0.39,0.4,0,0,0,0,Treatment,Chess instruction instead of standard mathematics curriculum (once per week),15,30,50,NA,NA,NA,NA,NA,1,NA,NA,,NA,NA,NA,,1,NA,NA,16,Comparison,Traditional instruction connected to students' IEP goals (NO chess instruction),1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,15,0.625,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,11
"Barrett & Fish, 2011",3,qed,1,1,"Barrett, David C. and Fish, Wade W.",Our Move: Using Chess to Improve Math Achievement for Students Who Receive Special Education Services,2011,International Journal of Special Education,113,113,1026,TAKS Obj 1,1,0,0.811,0.456,sec,0,16,measurement,0.35,0.33,0,0.65,0.33,0,0.29,0.27,0,0.39,0.4,0,0,0,0,Treatment,Chess instruction instead of standard mathematics curriculum (once per week),15,30,50,NA,NA,NA,NA,NA,1,NA,NA,,NA,NA,NA,,1,NA,NA,16,Comparison,Traditional instruction connected to students' IEP goals (NO chess instruction),1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,15,0.625,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,11
"Barrett & Fish, 2011",3,qed,1,1,"Barrett, David C. and Fish, Wade W.",Our Move: Using Chess to Improve Math Achievement for Students Who Receive Special Education Services,2011,International Journal of Special Education,113,113,1027,TAKS Obj 2,1,0,0.888,0.458,sec,0,16,measurement,0.35,0.33,0,0.65,0.33,0,0.29,0.27,0,0.39,0.4,0,0,0,0,Treatment,Chess instruction instead of standard mathematics curriculum (once per week),15,30,50,NA,NA,NA,NA,NA,1,NA,NA,,NA,NA,NA,,1,NA,NA,16,Comparison,Traditional instruction connected to students' IEP goals (NO chess instruction),1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,15,0.625,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,11
"Barrett & Fish, 2011",3,qed,1,1,"Barrett, David C. and Fish, Wade W.",Our Move: Using Chess to Improve Math Achievement for Students Who Receive Special Education Services,2011,International Journal of Special Education,113,113,1028,TAKS Obj 3,1,0,0.467,0.451,sec,0,16,measurement,0.35,0.33,0,0.65,0.33,0,0.29,0.27,0,0.39,0.4,0,0,0,0,Treatment,Chess instruction instead of standard mathematics curriculum (once per week),15,30,50,NA,NA,NA,NA,NA,1,NA,NA,,NA,NA,NA,,1,NA,NA,16,Comparison,Traditional instruction connected to students' IEP goals (NO chess instruction),1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,15,0.625,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,11
"Barrett & Fish, 2011",3,qed,1,1,"Barrett, David C. and Fish, Wade W.",Our Move: Using Chess to Improve Math Achievement for Students Who Receive Special Education Services,2011,International Journal of Special Education,113,113,1029,TAKS Obj 4,1,0,0.365,0.449,sec,0,16,measurement,0.35,0.33,0,0.65,0.33,0,0.29,0.27,0,0.39,0.4,0,0,0,0,Treatment,Chess instruction instead of standard mathematics curriculum (once per week),15,30,50,NA,NA,NA,NA,NA,1,NA,NA,,NA,NA,NA,,1,NA,NA,16,Comparison,Traditional instruction connected to students' IEP goals (NO chess instruction),1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,15,0.625,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,11
"Barrett & Fish, 2011",3,qed,1,1,"Barrett, David C. and Fish, Wade W.",Our Move: Using Chess to Improve Math Achievement for Students Who Receive Special Education Services,2011,International Journal of Special Education,113,113,1030,TAKS Obj 5,1,0,0.819,0.457,sec,0,16,measurement,0.35,0.33,0,0.65,0.33,0,0.29,0.27,0,0.39,0.4,0,0,0,0,Treatment,Chess instruction instead of standard mathematics curriculum (once per week),15,30,50,NA,NA,NA,NA,NA,1,NA,NA,,NA,NA,NA,,1,NA,NA,16,Comparison,Traditional instruction connected to students' IEP goals (NO chess instruction),1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,15,0.625,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,11
"Barrett & Fish, 2011",3,qed,1,1,"Barrett, David C. and Fish, Wade W.",Our Move: Using Chess to Improve Math Achievement for Students Who Receive Special Education Services,2011,International Journal of Special Education,113,113,1031,TAKS Obj 6,1,0,0.605,0.453,sec,0,16,measurement,0.35,0.33,0,0.65,0.33,0,0.29,0.27,0,0.39,0.4,0,0,0,0,Treatment,Chess instruction instead of standard mathematics curriculum (once per week),15,30,50,NA,NA,NA,NA,NA,1,NA,NA,,NA,NA,NA,,1,NA,NA,16,Comparison,Traditional instruction connected to students' IEP goals (NO chess instruction),1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,15,0.625,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,11
"Benz & Powell, 2018",1,rct,1,1,"Benz, Sarah Adair and Powell, Sarah R.",The Effect of Behavior within a Word-Problem Intervention for Students with Mathematical Difficulties,2018,ProQuest Dissertations and Theses,116,116,1036,Pennies Test,0,0,-0.003,0.027365,elem,0,1,word problems,0.59,0,0,0.14,0,0,0.74,0,0,0.03,0,0,0,0.03,0.07,Word problem solving without equal sign instruction,"Pirate Math is in intervention that focuses on the conceptual framework of three types of word problems (i.e., schemas), identify extraneous information, set-up algebraic equations to mirror thestructure of the given word-problem, solve for a missing variable, and self-evaluate thesolution. This treatment group, however, did not have additional instruction on the equal sign.",24,30,30,1,1,1,1,1,1,1,1,1,1,1,1,1,,NA,1,1,Control,regular instruction that would normally occur in the third grade classroom,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,18
"Benz & Powell, 2018",1,rct,1,1,"Benz, Sarah Adair and Powell, Sarah R.",The Effect of Behavior within a Word-Problem Intervention for Students with Mathematical Difficulties,2018,ProQuest Dissertations and Theses,116,116,1037,Texas Word Problems,0,0,0.849791,0.029756,elem,0,1,word problems,0.59,0,0,0.14,0,0,0.74,0,0,0.03,0,0,0,0.03,0.07,Word problem solving without equal sign instruction,"Pirate Math is in intervention that focuses on the conceptual framework of three types of word problems (i.e., schemas), identify extraneous information, set-up algebraic equations to mirror thestructure of the given word-problem, solve for a missing variable, and self-evaluate thesolution. This treatment group, however, did not have additional instruction on the equal sign.",24,30,30,1,1,1,1,1,1,1,1,1,1,1,1,1,,NA,1,1,Control,regular instruction that would normally occur in the third grade classroom,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,18
"Benz & Powell, 2018",1,rct,1,1,"Benz, Sarah Adair and Powell, Sarah R.",The Effect of Behavior within a Word-Problem Intervention for Students with Mathematical Difficulties,2018,ProQuest Dissertations and Theses,116,116,1038,Open Equations,0,0,0.080923,0.027387,elem,0,1,word problems,0.59,0,0,0.14,0,0,0.74,0,0,0.03,0,0,0,0.03,0.07,Word problem solving without equal sign instruction,"Pirate Math is in intervention that focuses on the conceptual framework of three types of word problems (i.e., schemas), identify extraneous information, set-up algebraic equations to mirror thestructure of the given word-problem, solve for a missing variable, and self-evaluate thesolution. This treatment group, however, did not have additional instruction on the equal sign.",24,30,30,1,1,1,1,1,1,1,1,1,1,1,1,1,,NA,1,1,Control,regular instruction that would normally occur in the third grade classroom,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,18
